iter	Passed	Remaining
0	2	574
1	3	461
2	5	413
3	6	392
4	8	408
5	9	397
6	11	386
7	12	389
8	14	396
9	16	398
10	18	394
11	19	387
12	21	383
13	22	382
14	24	378
15	25	376
16	27	377
17	29	377
18	30	372
19	32	371
20	33	367
21	35	364
22	36	360
23	37	357
24	39	353
25	40	352
26	43	356
27	44	354
28	46	351
29	47	349
30	48	345
31	50	344
32	52	343
33	53	342
34	55	341
35	57	339
36	58	338
37	60	337
38	62	335
39	63	334
40	65	332
41	66	329
42	67	327
43	69	324
44	70	322
45	72	320
46	73	317
47	75	316
48	76	315
49	78	313
50	79	311
51	81	310
52	82	308
53	84	307
54	86	305
55	87	303
56	89	302
57	90	300
58	92	298
59	93	295
60	95	294
61	96	293
62	98	292
63	100	290
64	101	288
65	103	287
66	105	287
67	106	286
68	108	284
69	110	283
70	111	281
71	113	279
72	114	277
73	115	275
74	117	273
75	118	272
76	120	270
77	122	269
78	123	267
79	125	267
80	127	265
81	128	263
82	129	261
83	131	259
84	132	257
85	134	256
86	135	254
87	137	253
88	138	251
89	140	249
90	141	247
91	143	246
92	145	244
93	146	243
94	148	242
95	150	241
96	152	239
97	153	238
98	154	236
99	156	234
100	158	233
101	159	232
102	161	230
103	162	228
104	164	226
105	165	225
106	167	223
107	169	222
108	170	220
109	172	219
110	174	218
111	175	216
112	177	215
113	179	213
114	180	211
115	182	210
116	183	208
117	185	207
118	187	206
119	188	204
120	190	203
121	191	201
122	193	199
123	194	197
124	196	196
125	197	194
126	199	192
127	200	191
128	202	189
129	203	187
130	204	185
131	206	184
132	207	182
133	209	181
134	211	179
135	212	178
136	213	176
137	215	174
138	216	173
139	218	171
140	219	169
141	221	168
142	223	167
143	225	165
144	226	164
145	228	162
146	229	160
147	231	159
148	232	157
149	234	156
150	235	154
151	237	153
152	238	151
153	240	149
154	241	148
155	243	146
156	244	145
157	246	143
158	248	141
159	249	140
160	251	139
161	253	137
162	254	135
163	255	134
164	257	132
165	258	131
166	260	129
167	262	128
168	263	126
169	265	125
170	267	123
171	268	121
172	270	120
173	271	118
174	273	117
175	274	115
176	276	113
177	278	112
178	279	110
179	281	109
180	283	107
181	284	106
182	286	104
183	287	103
184	289	101
185	290	99
186	292	98
187	293	96
188	295	95
189	296	93
190	298	92
191	299	90
192	301	89
193	302	87
194	304	85
195	305	84
196	307	82
197	308	81
198	310	79
199	311	77
200	313	76
201	314	74
202	316	73
203	317	71
204	319	70
205	320	68
206	322	66
207	323	65
208	325	63
209	326	62
210	328	60
211	330	59
212	331	57
213	333	56
214	334	54
215	336	52
216	337	51
217	339	49
218	341	48
219	342	46
220	344	45
221	346	43
222	347	42
223	349	40
224	350	38
225	352	37
226	354	35
227	355	34
228	357	32
229	359	31
230	360	29
231	362	28
232	363	26
233	365	25
234	367	23
235	368	21
236	370	20
237	372	18
238	373	17
239	374	15
240	376	14
241	377	12
242	379	10
243	380	9
244	382	7
245	384	6
246	385	4
247	387	3
248	389	1
249	390	0
