iter	Logloss
0	0.6672630795
1	0.6502989594
2	0.6314659553
3	0.6178397104
4	0.6027446001
5	0.5902383762
6	0.5797199216
7	0.5681398641
8	0.5597163102
9	0.5535553325
10	0.5451308489
11	0.5384435722
12	0.5307240095
13	0.5240497019
14	0.5193920081
15	0.5149551566
16	0.5101617702
17	0.5057644654
18	0.5017349253
19	0.4973551668
20	0.4923217838
21	0.4878773354
22	0.4847770905
23	0.4818096889
24	0.4782735305
25	0.4753273303
26	0.4725015863
27	0.4700272286
28	0.4671110738
29	0.4652244375
30	0.4635961094
31	0.4612916911
32	0.4596058986
33	0.4572192741
34	0.4558631912
35	0.4538700251
36	0.4515314001
37	0.4500756527
38	0.4488374647
39	0.4472207865
40	0.4453476508
41	0.4437368295
42	0.4426849827
43	0.4408652521
44	0.4398002455
45	0.4388131409
46	0.437333367
47	0.4360485855
48	0.4349571405
49	0.4335049971
50	0.4321900428
51	0.4311190488
52	0.4303214573
53	0.4294856103
54	0.428612379
55	0.4273174956
56	0.4256823933
57	0.4250525946
58	0.4243394315
59	0.4236072761
60	0.4229681378
61	0.4218837339
62	0.4214301377
63	0.4204558471
64	0.4200004732
65	0.419401056
66	0.4189222072
67	0.417664414
68	0.4169166246
69	0.4162554837
70	0.4157004708
71	0.4152335332
72	0.4145093093
73	0.4137626988
74	0.4132691112
75	0.4127266889
76	0.4116658359
77	0.4113646242
78	0.4103502
79	0.4096222608
80	0.4091709915
81	0.4088665987
82	0.4079198585
83	0.4071673212
84	0.4065339232
85	0.4058542797
86	0.4053199299
87	0.404915679
88	0.4044497989
89	0.4041024023
90	0.4037586772
91	0.4033277635
92	0.402860684
93	0.4025688424
94	0.4021208383
95	0.4013906076
96	0.4010887499
97	0.4005012427
98	0.4001553233
99	0.3998128527
100	0.3994618126
101	0.3989385952
102	0.3985972737
103	0.3976933787
104	0.396876129
105	0.3964504551
106	0.3961661233
107	0.3959076443
108	0.3951753904
109	0.3945988869
110	0.3944570522
111	0.3939395468
112	0.3936150089
113	0.3931475612
114	0.3923138282
115	0.3920218238
116	0.3916870893
117	0.3912659972
118	0.3910173962
119	0.3901926806
120	0.3898041561
121	0.3887795309
122	0.38838414
123	0.3880582537
124	0.3877443434
125	0.3874467211
126	0.3871828866
127	0.3869691885
128	0.3863492458
129	0.3859009659
130	0.3854391432
131	0.3850646633
132	0.3846963564
133	0.3844881614
134	0.3843340268
135	0.3841340577
136	0.3839516713
137	0.3837686461
138	0.3834995344
139	0.3829456357
140	0.3827629093
141	0.3825686599
142	0.382291912
143	0.3820546484
144	0.3818903752
145	0.3816802221
146	0.3814267641
147	0.3811359514
148	0.3809728108
149	0.3806963393
150	0.3803289615
151	0.3801502716
152	0.3798409893
153	0.379585893
154	0.3792672049
155	0.3790061832
156	0.3787965912
157	0.3785051093
158	0.3782506499
159	0.3778463965
160	0.377626415
161	0.3773768824
162	0.3771605065
163	0.3769119001
164	0.3767863978
165	0.3766003929
166	0.3763168588
167	0.3760548814
168	0.375823071
169	0.3755374807
170	0.3751725131
171	0.3749487814
172	0.374687054
173	0.3744983436
174	0.3742510482
175	0.3740523489
176	0.3737594603
177	0.3736085809
178	0.373332627
179	0.3731833452
180	0.372925271
181	0.3727397402
182	0.372329304
183	0.3721686044
184	0.3719965039
185	0.3716653605
186	0.371366036
187	0.3710824924
188	0.3707927147
189	0.3704799737
190	0.3702196079
191	0.370020946
192	0.3698271629
193	0.3696438259
194	0.3693869319
195	0.3692073183
196	0.3688143637
197	0.3685165641
198	0.3682554696
199	0.3679737956
200	0.3677211307
201	0.3675267838
202	0.3672316238
203	0.366980469
204	0.3667035019
205	0.3664445837
206	0.3661900228
207	0.3659973364
208	0.3657735892
209	0.3654485917
210	0.3652699974
211	0.364921579
212	0.364653992
213	0.3644733587
214	0.3643114202
215	0.3641015396
216	0.3637854256
217	0.3634270904
218	0.3631612476
219	0.3629711657
220	0.3627221561
221	0.3624989303
222	0.3621899345
223	0.3619926359
224	0.3615732699
225	0.3614072915
226	0.3610819396
227	0.3608456948
228	0.3606489685
229	0.360381667
230	0.360113545
231	0.35987578
232	0.3596544215
233	0.3594662837
234	0.3591525573
235	0.358861153
236	0.3586624781
237	0.3585201619
238	0.3582538783
239	0.358036849
240	0.3578361583
241	0.3576641259
242	0.3574650466
243	0.3572150627
244	0.3570408269
245	0.3567875206
246	0.3565240409
247	0.3563830593
248	0.3562067198
249	0.355961217
